Project Title,Overall Feasibility Rating,Project Status
A standard for token verification,4.4,1
ADA Bug Bounty Website,4.571428571428571,1
ADABET.iO | Cardano Betting DApp,5.0,1
ADAO - Plutus Token Vesting DApp,4.2,0
ADAO - RoundTable v2: Staking +,4.0,1
ADAO Open Source Development,4.166666666666667,1
ADAO- NFT Fractionalization Dapp,4.166666666666667,1
ADAO: Comprehensive DAO's Course,4.428571428571429,0
ADATOMS Science & DeFi FREE Ed.,4.333333333333333,1
ADAwell: Wellbeing DAO,4.875,1
AI lawyer on Cardano - Profila/HSLU,4.588235294117647,1
ALOHA for Cardano,4.25,1
AMA with Cross-Chain Communities,4.5,1
ATALA Prism zKP + Hyperledger Aries,5.0,0
Accelerator batch #3,3.8421052631578947,0
Accounting Reporting France,4.583333333333333,1
AdaPulse: Independent Media Outlet,4.625,0
Add Senior Developers to Ecosystem,4.75,0
Adosia Marketplace Updates,4.4,1
Adosia Spaceprinter Lite,4.25,0
Atala Integration with Milkomeda,4.8,1
Attract ETH NFT Projects & Talent,4.5,0
BLOCKTRUST identity wallet (PRISM),5.0,1
Blockchain Surveys for DAOs & More,4.857142857142857,0
Blueprint for Investment Funds,5.0,1
Boosting Cardano In South Africa,4.571428571428571,1
Bringing Business to Cardano,4.5,1
Bringing Cardano to Cambridge,4.0,0
Buy food & make an impact,4.8,1
CEVI - INFO HUB FOR VN (EN),4.9,1
CNFT Alliance: Japanese Community!,3.142857142857143,1
CNFT Community in Asian Community,4.6,1
Cardano 101 Course - Kaizen Crypto,4.625,0
Cardano Africa SmartFarming DApp,4.0,1
Cardano Asia TikTok Channel,4.8125,1
Cardano Bridges in Japanese,3.7142857142857144,1
Cardano Community Center Cape Town,4.791666666666667,1
Cardano DAO Dashboard,4.6,0
Cardano Forest - blocktree.asia,4.857142857142857,1
Cardano General Help Desk,3.875,1
Cardano NFT Gaming - Lovelace Saga!,4.0,1
Cardano Peer Education,4.571428571428571,1
Cardano SSI Contributors - Season 2,5.0,1
Cardano Start Guide,4.0,0
Cardano Student Learning Platform,3.8421052631578947,1
Cardano Submit API in Golang,4.0,1
Cardano Tunisia,3.6,1
Cardano Wallet OneBox,2.7,1
Cardano Youth Ambassadors,5.0,1
Cardano for Africa,4.1,1
Cardano for MENA,3.9523809523809526,1
Cardano for STEM Brazilian students,4.296296296296297,1
"CardanoPress, A Plugin for Builders",4.7,1
CardanoPress: Governance Plugin,4.5,1
CardanoPress: ISPO Dashboard,4.0,1
Carp over-budget + maintenance,3.111111111111111,1
Catalyst Campus Train,4.888888888888889,1
Catalyst Research & Voter Tool,4.8,1
Catalyst SDK dRep support,4.0,1
Catalyst Swarm & SingularityNET,4.5,1
Catalyst Swarm DAO Tools,4.7272727272727275,1
Catalyst tournament,4.6,1
China Info Hub Continued,4.769230769230769,1
Clarity DAO Infrastructure,4.5,1
Community CIP Editor: 1 year budget,5.0,1
Community Cyber Security Support,3.6,1
Connecting Asian Voter and Proposer,4.5,1
Connecting Tabletop Games & Cardano,4.25,0
Courses & Education Crypto MKTPLACE,4.285714285714286,1
Cross-Chain Fake NFT Protection,4.5,1
DADF - Disruptive Comm. Application,3.4444444444444446,1
DAO-NET: Small Developer Funding,5.0,0
DCOne Crypto,4.4,1
Daedalus Turbo - 10x Quicker Sync,5.0,0
Decentralized Escrow for Remote Job,5.0,1
Decentralized Social Intelligence,4.4,1
Discord Social Credential,5.0,1
DripDropz Cardano Mainstreet Suite,4.6,0
DripDropz Open Source Voting Tool,4.666666666666667,1
Driving Adoption via Travel D'Apps,3.8,1
ETH NFT Artists->Cardano workshops,4.45,0
EVM DAO Integration,4.8,0
Eastern Hemisphere dRep TownHall,4.714285714285714,0
Eastern Town Hall Team Operation,4.6875,1
Employment Credentials on PRISM,4.444444444444445,1
Enable Eternl,4.1,0
Ethereum and Cardano Web3 Wallet,4.571428571428571,1
Ethereum2Cardano Builder Dictionary,4.125,1
Evescale Devs on Cardano,4.8,1
Evolve Eternl,3.625,0
Fast reindexable data format,3.4,1
Fetachain - IIoT Cardano Framework,4.142857142857143,1
Flutter SDK,4.875,0
Fracada Addressing Audit,4.142857142857143,1
Fund Winner Marketing Logos,4.875,1
Funding Categories Analysis,4.8,1
Game Play and Earn from EVM Network,4.545454545454546,0
Gateway of blockchain-Learn to earn,4.285714285714286,1
Ghana Youth Onboarding Outreach 2,4.589743589743589,1
Global Compliance 200+ Jurisdiction,4.375,0
Gov3 - DAO Delegation Dashboard,4.8,1
Governance Services Guild tools,4.833333333333333,1
HONEYBEES ON BLOCKCHAIN,4.388888888888889,0
Handle Personalization | ADA Handle,5.0,1
Haskell Book Vietnamese Translation,4.8,1
Haskell Course For Developers,4.722222222222222,1
Impact lending for the unbanked,4.4,1
Innovatio Cross-Chain ADA-AVAX-DOT,4.7,1
International students for Cardano,4.3125,1
JPG DAO: Legal Review,3.75,0
Japanese Traditional Crafts NFT,4.0,1
KERI bridge for Cardano,5.0,1
KYC Solution,3.6,0
Kogmios Open Source Doc/Dev/Support,4.0,1
L-Earning Bazaar: Platform Building,4.833333333333333,1
L-Earning Bazaar: Web3 Integration,4.6,1
Learn to Earn Cardano Ecosystem,5.0,1
Ledger Live Integration #2,4.7,1
Legal & Financial Consulting Hub,4.230769230769231,0
Liquid staking for Milkomeda / L2s,4.333333333333333,1
Login with Cardano Wallet - cAuth,4.75,0
Lucid - Developing the Easy Way,4.6,1
MCA: A Model School in SA - Part II,4.8,1
MLabs - Apropos for Property Tests,4.571428571428571,1
MLabs - CTL Blockfrost Backend,4.5,1
MLabs - Cardano DApp Schemas,4.8,1
MLabs - Cardano Throughput Solution,4.666666666666667,1
MLabs - Dev Documentation Drive,4.222222222222222,1
MLabs - Embedano (Embedded Devices),4.2727272727272725,1
MLabs - Plutarch v2,4.6,1
Mainline Evangelist dApp,2.2857142857142856,1
Marketing Training for African SPOs,4.2,1
Mediation Training & Certification,4.75,1
Medical Records Ownership Protocol,4.714285714285714,1
Mentorship Digital Identity DAO,4.8,1
Milkomeda Djed,3.75,1
Milkomeda Game #2,3.25,1
Mini Proposal Workshops,4.391304347826087,1
Mtidano: NFTrees 4 Erosion Control,3.5,0
NFT Game Marketplace Cross-Chain,4.7272727272727275,0
NFT Job Board,4.25,0
Nurturing Roots in Africa,4.696969696969697,1
Onboard New Hispanic Ethereum Users,4.6,1
Onboarded companies playbook,4.6,1
Onboarding East Asia Today,4.9,1
Oneiron: Cardano Sidechain SDK,4.6,0
Open dApp Framework,5.0,0
Opportunity Summit,4.454545454545454,1
Oura v2,4.666666666666667,1
Ouroboros network (NtC) in Golang,4.4,1
"Outreach, Education & Collaboration",4.3,0
PRISM analytics platform,5.0,0
Plural Voting and Identity for DAOs,5.0,0
Poolpeek Stake Pool Pledge Tracker,4.428571428571429,0
Proposals Mentors Marketplace - 2,5.0,0
PubWeave: Academic Publishing,4.833333333333333,0
Quality Assurance of Organic Foods,3.4285714285714284,0
RESTful wrapper for Plutus Offchain,4.888888888888889,1
Rare Bloom Cardano Community Event,4.0,1
Real Estate Rental Marketplace,3.7777777777777777,0
Recognize Impact through DIDs,4.6,1
RemoStart: Africa Job Shadowing,4.666666666666667,1
RootsId Verifiable Credential,5.0,1
RootsWallet - User Feedback Updates,4.8,1
RootsWallet - iPhone version,5.0,1
Rust SDK fix critical CBOR encoding,4.166666666666667,1
Secure off-chain community voting,4.777777777777778,1
"Service Marketplace for Japan, VN",4.48,1
Smart Contract Audit projectNEWM,3.6,0
Solve asset fractionalization,4.0,1
Spectrum.Network | Layer 2 for DeFi,4.571428571428571,0
Stay Updated With Cardano Events,4.2,1
Support dRep Japan and Vietnam,4.5,0
Swahili Learn to Earn,4.6923076923076925,1
TapTools: All-In-One Platform,4.5,1
The Alexandria Project Web3 Library,3.8,0
Transaction Editor Hardware wallet,4.714285714285714,1
Translate Eternl,3.4166666666666665,0
Tribal DIDs=Indigenous Sovereignty,5.0,0
UPDEV CHALLENGE,4.4,1
Underprivileged DREPS Campaigning,5.0,0
University Design Team,4.027777777777778,1
Unreal Engine Integration,4.714285714285714,0
Vcoincheck Library (Phase 2),4.933333333333334,1
Voteaire Escrow Smart Contract,3.5714285714285716,1
WAL-CLI Issue Credential Protocol,4.8,0
Wallet Dapp Connector Integration,4.0,1
WalletConnect for Cardano,3.5555555555555554,1
Wolfram Cardano Ent. Private Cloud,3.4285714285714284,1
Wolfram UTxO History&Collaboration,4.428571428571429,1
cexplorer.io - cardano explorer,3.5,1
cip25 (NFT) Rust & WASM library,4.0,1
dRep Education Book Club,4.5,1
dRep Interview Channel,4.818181818181818,1
dRep tool for non-English speakers,4.636363636363637,1
dcSpark (the company iteslf),2.9,0
littlefish - Ikigai in Community,5.0,0
littlefish - Law and the New Order,4.571428571428571,1
littlefish - Ocean Technologies,4.833333333333333,1
littlefish - Tools of DAO Work,4.875,1
projectNEWM Marketplace Creation,3.4,0
subHandles | ADA Handle,4.875,0
